"","Plot","Yr","LAT","LON","ELEV","Common.Name","biomass.Mg.ha.dead","biomass.Mg.ha.live","standingdead_C_Mg_ha","livetree_C_Mg_ha","carbonratio","BGtree_C_Mg_ha","foresttype","standingdead_C_gm2","livetree_C_gm2","BGtree_C_gm2","total_treeC_gm2","NPP_C_gm2y","Year_start_NPP","Year_end_NPP"
"1",26,1998,55.48426,-131.237755,1700,"mountain hemlock",273.799510012145,1632.25753058045,136.899755006073,816.128765290223,0.478,390.109549808727,"mountain-hemlock",13689.9755006073,81612.8765290223,39010.9549808727,120623.831509895,NA,NA,NA
"2",26,1998,55.48426,-131.237755,1700,"Alaska yellow-cedar",NA,219.596797480902,NA,109.798398740451,0.478,52.4836345979356,"mountain-hemlock",NA,10979.8398740451,5248.36345979356,16228.2033338387,NA,NA,NA
"3",26,1998,55.48426,-131.237755,1700,"Sitka spruce",NA,226.610492574117,NA,113.305246287058,0.5,56.6526231435292,"mountain-hemlock",NA,11330.5246287058,5665.26231435292,16995.7869430587,NA,NA,NA
"4",26,1998,55.48426,-131.237755,1700,"western hemlock",NA,976.443167575348,NA,488.221583787674,0.507,247.528342980351,"mountain-hemlock",NA,48822.1583787674,24752.8342980351,73574.9926768025,NA,NA,NA
"5",26,2005,55.48426,-131.237755,1700,"mountain hemlock",262.521197027132,1502.40130729773,131.260598513566,751.200653648867,0.478,359.073912444158,"mountain-hemlock",13126.0598513566,75120.0653648867,35907.3912444158,111027.456609303,-1370.91070008463,1998,2005
"6",26,2005,55.48426,-131.237755,1700,"Alaska yellow-cedar",NA,250.280562865249,NA,125.140281432624,0.478,59.8170545247944,"mountain-hemlock",NA,12514.0281432624,5981.70545247944,18495.7335957419,323.932894557601,1998,2005
"7",26,2005,55.48426,-131.237755,1700,"Sitka spruce",NA,224.908165274913,NA,112.454082637457,0.5,56.2270413187283,"mountain-hemlock",NA,11245.4082637457,5622.70413187283,16868.1123956185,-18.2392210628932,1998,2005
"8",26,2005,55.48426,-131.237755,1700,"western hemlock",NA,1244.26687339893,NA,622.133436699465,0.507,315.421652406629,"mountain-hemlock",NA,62213.3436699465,31542.1652406629,93755.5089106094,2882.93089054384,1998,2005
"9",26,2016,55.48426,-131.237755,1700,"Alaska yellow-cedar",91.9225333002784,171.826349539892,45.9612666501392,85.913174769946,0.478,41.0664975400342,"mountain-hemlock",4596.12666501392,8591.3174769946,4106.64975400342,12697.967230998,-527.069669522169,2005,2016
"10",26,2016,55.48426,-131.237755,1700,"mountain hemlock",145.861708230685,1496.40171930717,72.9308541153425,748.200859653583,0.478,357.640010914413,"mountain-hemlock",7293.08541153425,74820.0859653583,35764.0010914413,110584.0870568,-40.306322954816,2005,2016
